Unix TimeStamp,Logical Time,Duration,Buffer Level,Current Playback Time,Available Playback Time,Quality Index,Resolution,Bitrate
1585651292,1,634.566,3.594,0.503316,4.097316,9,3840 X 2160,14931538
1585651293,2,634.566,2.597,1.505093,4.102093,9,3840 X 2160,14931538
1585651294,3,634.566,1.595,2.506115,4.101115,9,3840 X 2160,14931538
1585651295,4,634.566,0.595,3.506537,4.1015369999999995,9,3840 X 2160,14931538
1585651296,5,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651297,6,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651298,7,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651299,8,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651300,9,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651301,10,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651302,11,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651303,12,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651304,13,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651305,14,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651306,15,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651307,16,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651308,17,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651309,18,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651310,19,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651311,20,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651312,21,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651313,22,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651314,23,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651315,24,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651316,25,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651317,26,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651318,27,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651319,28,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651320,29,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651321,30,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651322,31,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651323,32,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651324,33,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651325,34,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651326,35,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651327,36,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651328,37,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651329,38,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651330,39,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651331,40,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651332,41,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651333,42,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651334,43,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651335,44,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651336,45,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651337,46,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651338,47,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651339,48,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651340,49,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651341,50,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651342,51,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651343,52,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651344,53,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651345,54,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651346,55,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651347,56,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651348,57,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651349,58,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651350,59,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651351,60,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651352,61,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651353,62,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651354,63,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651355,64,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651356,65,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651357,66,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651358,67,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651359,68,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651360,69,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651361,70,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651362,71,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651363,72,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651364,73,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651365,74,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651366,75,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651367,76,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651368,77,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651369,78,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651370,79,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651371,80,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651372,81,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651373,82,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651374,83,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651375,84,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651376,85,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651377,86,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651378,87,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651379,88,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651380,89,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651381,90,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651382,91,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651383,92,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651384,93,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651385,94,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651386,95,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651387,96,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651388,97,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651389,98,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651390,99,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651391,100,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651392,101,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651393,102,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651394,103,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651395,104,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651396,105,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651397,106,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651398,107,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651399,108,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651400,109,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651401,110,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651402,111,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651403,112,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651404,113,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651405,114,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651406,115,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651407,116,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651408,117,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651409,118,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651410,119,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651411,120,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651412,121,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651413,122,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651414,123,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651415,124,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651416,125,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651417,126,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651418,127,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651419,128,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651420,129,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651421,130,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651422,131,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651423,132,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651424,133,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651425,134,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651426,135,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651427,136,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651428,137,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651429,138,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651430,139,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651431,140,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651432,141,634.566,0.342,3.658255,4.000255,7,1280 X 720,4952892
1585651433,142,634.566,3.966,4.136003,8.102003,0,320 X 180,254320
1585651434,143,634.566,2.967,5.13542,8.10242,0,320 X 180,254320
1585651435,144,634.566,1.966,6.134344,8.100344,0,320 X 180,254320
1585651436,145,634.566,0.966,7.135466,8.101466,0,320 X 180,254320
1585651437,146,634.566,3.966,8.135582,12.101582,0,320 X 180,254320
1585651438,147,634.566,2.961,9.13527,12.09627,0,320 X 180,254320
1585651439,148,634.566,1.966,10.135523,12.101522999999998,0,320 X 180,254320
1585651440,149,634.566,0.966,11.135552,12.101552,0,320 X 180,254320
1585651441,150,634.566,3.966,12.136405,16.102405,0,320 X 180,254320
1585651442,151,634.566,2.966,13.13572,16.10172,0,320 X 180,254320
1585651443,152,634.566,1.966,14.135454,16.101454,0,320 X 180,254320
1585651444,153,634.566,0.966,15.135839,16.101839000000002,0,320 X 180,254320
1585651445,154,634.566,3.966,16.135193,20.101193000000002,0,320 X 180,254320
1585651446,155,634.566,2.966,17.13574,20.10174,0,320 X 180,254320
1585651447,156,634.566,1.966,18.135432,20.101432000000003,0,320 X 180,254320
1585651448,157,634.566,4.94,19.13479,24.07479,0,320 X 180,254320
1585651449,158,634.566,3.966,20.135585,24.101585,0,320 X 180,254320
1585651450,159,634.566,2.909,21.135272,24.044272,0,320 X 180,254320
1585651451,160,634.566,1.966,22.135089,24.101089,0,320 X 180,254320
1585651452,161,634.566,0.966,23.13543,24.10143,0,320 X 180,254320
1585651453,162,634.566,3.966,24.135166,28.101166000000003,0,320 X 180,254320
1585651454,163,634.566,2.966,25.135424,28.101424,0,320 X 180,254320
1585651455,164,634.566,1.966,26.13582,28.10182,0,320 X 180,254320
1585651456,165,634.566,0.966,27.135572,28.101572,0,320 X 180,254320
1585651457,166,634.566,3.966,28.135312,32.101312,0,320 X 180,254320
1585651458,167,634.566,2.966,29.135303,32.101303,0,320 X 180,254320
1585651459,168,634.566,1.966,30.13498,32.10098,0,320 X 180,254320
1585651460,169,634.566,0.966,31.135928,32.101928,0,320 X 180,254320
1585651461,170,634.566,3.966,32.135425,36.101425,0,320 X 180,254320
1585651462,171,634.566,2.964,33.13727,36.10127,0,320 X 180,254320
1585651463,172,634.566,1.966,34.135018,36.101018,0,320 X 180,254320
1585651464,173,634.566,1.532,34.46763,35.999629999999996,0,320 X 180,254320